Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
62,,,,,,,4.61938184,50.66898980,179.771,Global,0.140,0.140,0.360,0.198,2.074,m,SINGLE,NONE,2026-03-11 11:32:19.4 UTC+01:00,2026-03-11 11:32:24.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
63,,,,,,,4.61931063,50.66898421,178.347,Global,0.131,0.142,0.358,0.193,2.074,m,SINGLE,NONE,2026-03-11 11:32:48.8 UTC+01:00,2026-03-11 11:32:53.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
64,,,,,,,4.61931279,50.66900510,177.468,Global,0.133,0.131,0.327,0.187,2.074,m,SINGLE,NONE,2026-03-11 11:33:12.0 UTC+01:00,2026-03-11 11:33:17.0 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
65,,,,,,,4.61936012,50.66900742,177.288,Global,0.133,0.130,0.335,0.186,2.074,m,SINGLE,NONE,2026-03-11 11:33:36.0 UTC+01:00,2026-03-11 11:33:41.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
66,,,,,,,4.61940521,50.66900575,177.733,Global,0.141,0.142,0.354,0.200,2.074,m,SINGLE,NONE,2026-03-11 11:33:58.2 UTC+01:00,2026-03-11 11:34:03.2 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
67,,,,,,,4.61943796,50.66900675,178.549,Global,0.191,0.161,0.465,0.249,2.074,m,SINGLE,NONE,2026-03-11 11:34:21.4 UTC+01:00,2026-03-11 11:34:26.4 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
68,,,,,,,4.61943102,50.66902113,179.791,Global,0.185,0.171,0.474,0.252,2.074,m,SINGLE,NONE,2026-03-11 11:35:03.8 UTC+01:00,2026-03-11 11:35:08.8 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
69,,,,,,,4.61937079,50.66901940,178.257,Global,0.130,0.140,0.360,0.191,2.074,m,SINGLE,NONE,2026-03-11 11:36:00.6 UTC+01:00,2026-03-11 11:36:05.6 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
70,,,,,,,4.61930878,50.66901602,178.586,Global,0.121,0.134,0.332,0.181,2.074,m,SINGLE,NONE,2026-03-11 11:36:34.8 UTC+01:00,2026-03-11 11:36:39.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
71,,,,,,,4.61931172,50.66904355,178.130,Global,0.122,0.130,0.336,0.179,2.074,m,SINGLE,NONE,2026-03-11 11:36:58.8 UTC+01:00,2026-03-11 11:37:03.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
