Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
29;4,61926301;50,66900117;189,941;Global;0,006;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:17:47,4 UTC+01:00;2026-03-11 11:17:52,4 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
30;4,61928144;50,66901462;189,497;Global;0,007;0,006;0,011;0,01;2,074;m;FIX;NONE;2026-03-11 11:18:11,2 UTC+01:00;2026-03-11 11:18:16,2 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
31;4,61924812;50,66901707;189,64;Global;0,005;0,007;0,014;0,008;2,074;m;FIX;NONE;2026-03-11 11:18:33,6 UTC+01:00;2026-03-11 11:18:38,6 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
32;#NOM?;#NOM?;#NOM?;Global;;;;;2,074;m;SINGLE;NONE;2026-03-11 11:19:04,4 UTC+01:00;2026-03-11 11:19:09,4 UTC+01:00;26;1,5;1,8;Global CS;Reach RS2;824302D372E1EC90
33;4,61926825;50,66903862;189,196;Global;0,013;0,01;0,016;0,016;2,074;m;FIX;NONE;2026-03-11 11:19:23,6 UTC+01:00;2026-03-11 11:19:28,6 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
34;4,6192768;50,66905734;189,058;Global;0,005;0,006;0,011;0,007;2,074;m;FIX;NONE;2026-03-11 11:19:40,8 UTC+01:00;2026-03-11 11:19:45,8 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
35;4,61924758;50,66906065;189,109;Global;0,005;0,007;0,013;0,009;2,074;m;FIX;NONE;2026-03-11 11:19:58,2 UTC+01:00;2026-03-11 11:20:03,2 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
36;4,61925719;50,66907981;189,008;Global;0,006;0,007;0,013;0,009;2,074;m;FIX;NONE;2026-03-11 11:20:20,6 UTC+01:00;2026-03-11 11:20:25,6 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
37;4,61927485;50,66908637;188,979;Global;0,005;0,007;0,011;0,009;2,074;m;FIX;NONE;2026-03-11 11:20:41,4 UTC+01:00;2026-03-11 11:20:46,4 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
38;4,61927072;50,66910438;188,913;Global;0,005;0,005;0,012;0,007;2,074;m;FIX;NONE;2026-03-11 11:21:01,8 UTC+01:00;2026-03-11 11:21:06,8 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
39;4,61933309;50,66897074;190,898;Global;0,007;0,006;0,012;0,01;2,074;m;FIX;NONE;2026-03-11 11:22:52,4 UTC+01:00;2026-03-11 11:22:57,4 UTC+01:00;26;1,2;1,4;Global CS;Reach RS2;824302D372E1EC90
40;4,61933352;50,668972;190,556;Global;0,006;0,005;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:23:16,0 UTC+01:00;2026-03-11 11:23:21,0 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
41;4,61933255;50,66897851;190,437;Global;0,005;0,008;0,014;0,01;2,074;m;FIX;NONE;2026-03-11 11:23:38,6 UTC+01:00;2026-03-11 11:23:43,6 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
42;4,6194017;50,66897421;190,901;Global;0,005;0,007;0,012;0,009;2,074;m;FIX;NONE;2026-03-11 11:24:11,8 UTC+01:00;2026-03-11 11:24:16,8 UTC+01:00;26;1,3;1,6;Global CS;Reach RS2;824302D372E1EC90
43;4,61940349;50,66897648;190,339;Global;0,006;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:24:36,2 UTC+01:00;2026-03-11 11:24:41,2 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
44;4,61940236;50,66898221;190,433;Global;0,006;0,006;0,013;0,009;2,074;m;FIX;NONE;2026-03-11 11:24:59,8 UTC+01:00;2026-03-11 11:25:04,8 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
45;4,6194711;50,66897745;190,875;Global;0,005;0,006;0,012;0,008;2,074;m;FIX;NONE;2026-03-11 11:25:26,4 UTC+01:00;2026-03-11 11:25:31,4 UTC+01:00;26;1,3;1,5;Global CS;Reach RS2;824302D372E1EC90
